Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
3.63,5.75,6.11,52.57,38.16,1.06
3.65,6.62,6.19,78.28,12.95,1.07
3.67,6.19,6.64,72.95,10.59,1.09
3.7,7.12,7.29,97.88,12.46,1.1
3.73,8.55,10.4,96.6,11.67,1.11
3.75,15.53,13.26,222.99,19.23,1.13
3.77,15.7,17.33,254.66,15.3,1.14
3.8,20.76,20.05,156.3,21.19,1.15
3.83,23.67,24.55,209.02,15.21,1.16
3.85,29.21,21.05,225.11,12.26,1.18
3.88,10.27,19.55,89.93,-4.22,1.19
3.9,19.16,16.81,186.98,3.63,1.2
3.92,20.98,20.38,173.17,52.78,1.21
3.95,20.98,17.93,173.17,52.78,1.23
3.98,11.79,14.54,467.42,24.52,1.24
4,10.84,10.78,485.57,16.97,1.25
4.03,9.7,10.12,496.35,14.32,1.26
4.05,9.81,9.74,507.81,17.76,1.27
4.08,9.71,8.29,510.51,8.93,1.29
4.1,5.33,6.65,493.08,18.34,1.3
4.13,4.9,5.11,421.56,15.3,1.31
4.15,5.08,4.61,211.65,11.09,1.32
4.17,3.84,3.98,142.08,7.06,1.34
4.2,3.01,3.01,139.78,6.97,1.35
4.22,2.18,2.02,141.49,-12.36,1.36
4.25,0.88,1.26,91.5,5.69,1.38
4.28,0.74,0.77,56.68,12.07,1.39
4.3,0.69,0.75,60.93,12.26,1.4
4.33,0.82,0.76,39.37,26,1.41
4.35,0.75,0.79,38.98,25.11,1.43
4.38,0.78,0.83,37.55,23.35,1.44
4.4,0.96,0.95,35.14,23.64,1.45
4.42,1.11,1.09,24.72,22.46,1.46
4.45,1.19,1.22,23.96,21.09,1.48
4.47,1.36,1.18,26.62,-5.2,1.49
4.5,1,1.21,31.16,1.37,1.5
4.53,1.27,1.27,30.82,-3.14,1.51
4.55,1.53,1.4,30.48,29.23,1.52
4.58,1.39,1.52,23.91,52.68,1.54
4.6,1.64,1.61,22.49,10.99,1.55
4.63,1.79,2.12,25.16,9.52,1.56
4.65,2.93,3.49,31.95,8.04,1.57
4.67,5.74,5.09,42.93,17.56,1.59
4.7,6.59,6.39,54.54,29.14,1.6
4.72,6.82,5.44,101.88,30.12,1.61
4.75,2.91,4.28,79.58,0.69,1.63
4.78,3.1,3.43,70.1,13.83,1.64
4.8,4.27,3.27,61.69,15.5,1.65
4.83,2.42,2.91,72.65,9.42,1.66
4.85,2.02,2.06,89.44,1.67,1.68
