Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
15.53,4.71,4.1,89.87,1.28,0.71
15.55,3.38,3.49,72.77,-2.45,0.72
15.57,2.38,2.92,76.94,-3.73,0.72
15.6,3,2.84,122.18,5.89,0.73
15.63,3.13,3.24,110.19,1.86,0.73
15.65,3.59,3.49,101.5,6.38,0.74
15.68,3.76,3.24,77.65,8.53,0.74
15.7,2.36,2.59,61.09,7.46,0.75
15.72,1.64,2.02,64.73,5.59,0.76
15.75,2.04,1.75,56.5,4.71,0.76
15.78,1.56,3.49,40.74,3.53,0.77
15.8,6.86,6.75,102.01,2.45,0.77
15.82,11.84,9.45,155.45,18.15,0.78
15.85,9.64,8.65,114.39,18.44,0.78
15.88,4.46,11.83,91.52,4.32,0.79
15.9,21.39,17,116.77,8.24,0.8
15.93,25.15,27.01,76.48,20.99,0.8
15.95,34.49,31.38,91.48,14.91,0.81
15.97,34.49,33.94,91.48,14.91,0.81
16,32.84,32.89,24.92,6.77,0.82
16.02,31.32,31.91,134.02,-1.18,0.82
16.05,31.57,31.49,207.62,2.94,0.83
16.07,31.57,31.57,207.62,2.94,0.84
16.1,31.57,21.96,207.62,2.94,0.84
16.13,2.72,13.02,177.86,4.22,0.85
16.15,4.76,4.61,148.11,-0.39,0.85
16.18,6.34,5.11,265.12,8.53,0.86
16.2,4.22,4.02,184,13.73,0.86
16.23,1.49,2.83,121.19,19.33,0.87
16.25,2.76,2.9,200.04,4.12,0.88
16.27,4.44,4.34,112.82,5.1,0.88
16.3,5.8,5.12,38.98,-1.18,0.89
16.32,5.12,5.01,14.76,-0.39,0.89
16.35,4.12,5.6,59.34,13.05,0.9
16.38,7.55,7.47,46.67,12.56,0.9
16.4,10.74,10.58,64.27,5.49,0.91
16.43,13.44,14.37,81.88,13.64,0.91
16.45,18.93,19.57,91.95,15.01,0.92
16.48,26.35,23.88,207.86,12.65,0.93
16.5,26.35,23.65,207.86,12.65,0.93
16.52,18.25,18.25,389.78,1.77,0.94
16.55,10.16,13.52,354.84,6.67,0.94
16.57,12.15,13.52,273.91,6.08,0.95
16.6,18.24,18.24,192.97,1.37,0.95
16.63,24.32,24.32,180.02,-0.1,0.96
16.65,30.41,33.64,167.08,12.75,0.97
16.68,46.19,25.53,310.41,10.79,0.97
16.7,0,15.4,0,-8888,0.98
16.73,0,0,0,-8888,0.98
16.75,0,0,0,-8888,0.99
16.77,0,0,0,-8888,0.99
16.8,-8888,0,-8888,-8888,1
16.82,-8888,0,-8888,-8888,0
16.85,-8888,0,-8888,-8888,0
16.88,-8888,0,-8888,-8888,0
16.9,-8888,0,-8888,-8888,0
16.93,-8888,0,-8888,-8888,0
16.95,-8888,0,-8888,-8888,0
16.98,-8888,0,-8888,-8888,0
17,-8888,0,-8888,-8888,0
17.02,-8888,0,-8888,-8888,0
17.05,-8888,0,-8888,-8888,0
17.07,-8888,0,-8888,-8888,0
17.1,-8888,0,-8888,-8888,0
17.13,-8888,0,-8888,-8888,0
17.15,-8888,0,-8888,-8888,0
17.18,-8888,0,-8888,-8888,0
17.2,-8888,0,-8888,-8888,0
17.23,-8888,0,-8888,-8888,0
17.25,-8888,0,-8888,-8888,0
17.27,-8888,0,-8888,-8888,0
17.3,-8888,0,-8888,-8888,0
17.32,-8888,0,-8888,-8888,0
17.35,-8888,0,-8888,-8888,0
17.38,-8888,0,-8888,-8888,0
17.4,-8888,0,-8888,-8888,0
17.43,-8888,0,-8888,-8888,0
17.45,-8888,0,-8888,-8888,0
17.48,-8888,0,-8888,-8888,0
17.5,-8888,0,-8888,-8888,0
17.52,-8888,0,-8888,-8888,0
17.55,-8888,0,-8888,-8888,0
17.57,-8888,0,-8888,-8888,0
17.6,-8888,0,-8888,-8888,0
17.63,-8888,0,-8888,-8888,0
17.65,-8888,0,-8888,-8888,0
17.68,-8888,0,-8888,-8888,0
17.7,-8888,0,-8888,-8888,0
17.73,-8888,0,-8888,-8888,0
17.75,-8888,0,-8888,-8888,0
17.77,-8888,0,-8888,-8888,0
17.8,-8888,0,-8888,-8888,0
17.82,-8888,0,-8888,-8888,0
17.85,-8888,0,-8888,-8888,0
17.88,-8888,0,-8888,-8888,0
17.9,-8888,0,-8888,-8888,0
17.93,-8888,0,-8888,-8888,0
17.95,-8888,0,-8888,-8888,0
17.98,-8888,0,-8888,-8888,0
18,-8888,0,-8888,-8888,0
18.02,-8888,0,-8888,-8888,0
18.05,-8888,0,-8888,-8888,0
18.07,-8888,0,-8888,-8888,0
18.1,-8888,0,-8888,-8888,0
18.13,-8888,0,-8888,-8888,0
18.15,-8888,0,-8888,-8888,0
18.18,-8888,0,-8888,-8888,0
18.2,-8888,0,-8888,-8888,0
18.23,-8888,0,-8888,-8888,0
18.25,-8888,0,-8888,-8888,0
18.27,-8888,0,-8888,-8888,0
18.3,-8888,0,-8888,-8888,0
18.32,-8888,0,-8888,-8888,0
18.35,-8888,0,-8888,-8888,0
18.38,20.98,17.39,-8888,58.27,0
18.4,31.14,29.67,-8888,116.54,0
18.43,36.83,36.92,-8888,101.14,0
18.45,42.73,42,-8888,93.49,0
18.48,46.37,46.61,180.29,63.08,0
18.5,50.69,32.36,174.64,43.85,0
18.52,0,16.9,0,-8888,0
18.55,0,0,0,-8888,0
18.57,0,0,0,-8888,0
18.6,0,0,0,-8888,0
18.63,-8888,0,-8888,-8888,0
18.65,-8888,0,-8888,-8888,0
18.68,-8888,0,-8888,-8888,0
18.7,-8888,0,-8888,-8888,0
18.73,-8888,0,-8888,-8888,0
18.75,-8888,0,-8888,-8888,0
18.77,-8888,0,-8888,-8888,0
18.8,-8888,0,-8888,-8888,0
18.82,-8888,0,-8888,-8888,0
18.85,-8888,0,-8888,-8888,0
18.88,-8888,0,-8888,-8888,0
18.9,-8888,0,-8888,-8888,0
18.93,-8888,0,-8888,-8888,0
18.95,-8888,0,-8888,-8888,0
18.98,-8888,0,-8888,-8888,0
19,-8888,0,-8888,-8888,0
19.02,-8888,0,-8888,-8888,0
19.05,-8888,0,-8888,-8888,0
19.07,-8888,0,-8888,-8888,0
19.1,-8888,0,-8888,-8888,0
19.13,-8888,0,-8888,-8888,0
19.15,-8888,0,-8888,-8888,0
19.18,-8888,0,-8888,-8888,0
19.2,-8888,0,-8888,-8888,0
19.23,-8888,0,-8888,-8888,0
19.25,-8888,0,-8888,-8888,0
19.27,-8888,0,-8888,-8888,0
19.3,-8888,0,-8888,-8888,0
19.32,-8888,0,-8888,-8888,0
19.35,-8888,0,-8888,-8888,0
19.38,-8888,0,-8888,-8888,0
19.4,-8888,0,-8888,-8888,0
19.43,-8888,0,-8888,-8888,0
19.45,-8888,0,-8888,-8888,0
19.48,-8888,0,-8888,-8888,0
19.5,-8888,0,-8888,-8888,0
19.52,-8888,0,-8888,-8888,0
19.55,-8888,0,-8888,-8888,0
19.57,-8888,0,-8888,-8888,0
19.6,-8888,0,-8888,-8888,0
19.63,-8888,0,-8888,-8888,0
19.65,-8888,0,-8888,-8888,0
19.68,-8888,0,-8888,-8888,0
19.7,-8888,0,-8888,-8888,0
19.73,-8888,0,-8888,-8888,0
19.75,-8888,0,-8888,-8888,0
19.77,-8888,0,-8888,-8888,0
19.8,-8888,0,-8888,-8888,0
19.82,20.1,14.84,-8888,16.48,0
19.85,24.42,23.44,-8888,17.36,0
19.88,25.8,25.1,-8888,16.38,0
19.9,25.06,24.55,-8888,16.68,0
19.93,22.78,22.01,155.65,16.19,0
19.95,18.19,19.25,108.49,15.89,0
19.98,16.77,17.04,97.72,17.17,0
20,16.15,15.09,80.64,16.78,0
20.02,12.34,12.71,111.72,15.89,0.25
20.05,9.63,9.76,69,14.71,0.5
20.07,7.3,7.86,87.72,15.6,0.75
20.1,6.63,6.46,101.67,14.62,1
20.13,5.43,5.7,97.46,16.28,1.25
20.15,5.03,5.03,119.01,5.4,1.5
20.18,4.63,5.29,140.56,11.58,1.75
20.2,6.19,5.63,136.99,14.32,2
20.23,6.04,6.55,145.54,16.97,2.25
20.25,7.42,6.81,134.11,18.25,2.5
20.27,6.96,6.26,137.46,19.82,2.75
20.3,4.39,5.25,93.83,16.19,3
20.32,4.39,4.17,76.53,17.66,3.25
20.35,3.74,3.99,119.31,19.33,3.5
20.38,3.84,4.34,125.66,22.56,3.75
20.4,5.41,7.09,95.92,32.47,4
20.43,11.99,10.91,88.2,33.75,4.25
20.45,15.3,13.18,86.73,31.1,4.5
20.48,12.22,14.7,259.37,21.97,4.75
20.5,16.57,14.92,240.24,8.04,5
20.52,15.95,16.95,221.1,8.14,4.75
20.55,18.32,18.46,310.38,12.07,4.5
20.57,21.1,16.92,352.76,12.16,4.25
20.6,11.34,15.66,303,7.95,4
20.63,14.54,15.52,512.32,12.07,3.75
20.65,20.68,18.36,617.34,16.68,3.5
20.68,19.86,20.04,734.05,31.88,3.25
20.7,19.55,17.49,764.62,35.71,3
20.73,13.03,14.72,702.97,30.31,2.75
20.75,11.55,10.69,749.21,24.92,2.5
20.77,7.49,9.63,524.27,21.68,2.25
20.8,9.82,8.63,461.48,23.05,2
20.82,8.56,9.35,259.25,12.36,1.75
20.85,9.67,10.73,260.32,11.87,1.5
20.88,13.95,12.97,293.47,12.46,1.25
20.9,15.27,15.62,359.62,8.04,1
20.93,17.63,17.36,377.81,10.01,0.75
20.95,19.18,18.83,424.06,8.83,0.5
20.98,19.68,17.73,333.63,6.67,0.25
21,14.32,13.77,268.65,-1.37,0
21.02,7.31,9.91,107.9,1.18,0
21.05,8.1,8.1,106.98,-0.1,0
21.07,8.89,8.9,106.06,0.59,0
21.1,9.71,9.47,105.13,0.69,0
21.13,9.8,9.52,104.21,5.59,0
21.15,9.06,8.61,150.33,1.67,0
21.18,6.98,8.02,136.21,4.12,0
21.2,8.02,8.47,156.04,1.37,0
21.23,10.42,10.82,145.89,7.26,0
21.25,14.02,10.58,51.81,5.79,0
21.27,7.31,10.31,185.83,1.28,0
21.3,9.59,9.48,232.12,1.28,0
21.32,11.55,10.68,214.63,1.47,0
21.35,10.9,10.66,126.48,-0.2,0
21.38,9.53,8.35,162.36,1.18,0
21.4,4.62,7.09,137.58,1.18,0
21.43,7.11,6.06,307.14,3.14,0
21.45,6.44,9.3,140.82,1.67,0
21.48,14.34,13.1,178.86,2.35,0
21.5,18.52,16.37,213.12,1.96,0
21.52,16.26,16.57,342.28,5.98,0
21.55,14.93,16.15,284.73,5.3,0
21.57,17.26,16.37,362.19,3.24,0
21.6,16.92,15.74,297.49,2.35,0
21.63,13.04,14.94,287.29,3.14,0
21.65,14.87,14.28,191.01,1.86,0
21.68,14.93,12.18,260.16,-2.94,0
21.7,6.75,9.81,258.44,0.59,0
21.73,7.75,8.38,310.36,1.67,0
21.75,10.63,10.1,166.99,15.6,0
21.77,11.92,10.75,151.95,14.52,0
21.8,9.69,9.11,102.82,15.21,0
21.82,5.71,7.21,125.3,5.49,0
21.85,6.23,7.06,77.45,8.93,0
21.88,9.24,8.28,80.32,2.75,0
21.9,9.39,9.41,71.82,3.34,0
21.93,9.6,10.32,87.89,1.96,0
21.95,11.98,11.29,101.44,0.1,0
21.98,12.29,13.25,122.94,5,0
22,15.48,15.05,163.78,5.1,0
22.02,17.38,16.51,170.79,11.28,0.42
22.05,16.67,17.21,157.81,7.95,0.83
22.07,17.57,17.92,196.94,9.03,1.25
22.1,19.52,19.43,224.25,7.65,1.67
22.13,21.18,21,222.14,6.67,2.08
22.15,22.29,21.98,146.84,16.19,2.5
22.18,22.47,22.76,99.68,16.58,2.92
22.2,23.52,23.44,122.77,16.09,3.33
22.23,24.32,24.96,205.11,15.3,3.75
22.25,27.04,27.58,197.23,14.91,4.17
22.27,31.37,31.51,174.81,14.03,4.58
22.3,36.11,35.07,146.44,21.88,5
22.32,37.72,36.13,132.34,22.66,4.82
22.35,34.54,36.08,216.1,4.02,4.64
22.38,35.96,35.24,103,4.12,4.46
22.4,35.23,35.38,108.07,4.61,4.29
22.43,34.94,34.87,105.55,5.3,4.11
22.45,34.44,33.97,116.97,7.16,3.93
22.48,32.53,31.64,131.45,7.85,3.75
22.5,27.95,29.03,111.56,7.16,3.57
22.52,26.61,25.06,243.23,8.04,3.39
22.55,20.6,21.61,199.04,-3.14,3.21
22.57,17.63,17.74,208.42,1.37,3.04
22.6,14.99,14.2,50.9,0.2,2.86
22.63,9.98,12.58,86.17,3.92,2.68
22.65,12.76,11.27,128.92,3.92,2.5
22.68,11.08,13.09,120,1.18,2.32
22.7,15.43,15.42,222.72,13.54,2.14
22.73,19.74,19.63,513.01,3.14,1.96
22.75,23.7,23.53,530.86,7.26,1.79
22.77,27.13,25.69,591.54,7.75,1.61
22.8,26.23,22.87,610.68,7.65,1.43
22.82,15.23,17.66,446.1,10.1,1.25
22.85,11.53,12.94,526.62,6.08,1.07
22.88,12.05,12.05,372.99,1.18,0.89
22.9,12.57,12.41,219.37,1.47,0.71
22.93,12.6,12.68,65.75,0.98,0.54
22.95,12.88,12.56,47.05,0.59,0.36
22.98,12.21,12.3,41.7,1.08,0.18
23,11.82,11.72,69.79,0.78,0
23.02,11.13,11.88,67.85,5.89,0
23.05,12.69,12.68,65.24,5.1,0
23.07,14.21,13.82,68.6,4.61,0
23.1,14.55,15.17,95.6,2.84,0
23.13,16.74,15.77,130.21,2.55,0
23.15,16.03,17.4,52.74,4.61,0
23.18,19.44,15.93,87.77,0.88,0
23.2,12.33,15.04,94.78,5.69,0
23.23,13.34,14.27,141.54,-4.22,0
23.25,17.15,16.49,315.69,3.53,0
23.27,19,19.09,453.16,2.06,0
23.3,21.11,21.11,520.57,4.51,0
23.32,23.22,18.31,496.8,4.22,0
23.35,10.59,15.5,337.45,3.14,0
23.38,12.7,13.06,292.14,2.55,0
23.4,15.89,16,194.7,1.86,0
23.43,19.4,18.59,244.99,1.96,0
23.45,20.49,20.29,284.87,2.65,0
23.48,20.99,19.4,388.29,3.24,0
23.5,16.73,17.39,386.33,2.75,0
23.52,14.46,15.7,207.47,1.77,0
23.55,15.9,16.02,152.22,1.47,0
23.57,17.69,17.13,184.12,2.06,0
23.6,17.8,17.16,236.26,0.49,0
23.63,16,16.31,253.82,2.06,0
23.65,15.12,15.45,274.3,2.84,0
23.68,15.22,14.93,252.13,2.65,0
23.7,14.45,14.79,162.32,1.67,0
23.73,14.69,15.43,185.09,1.77,0
23.75,17.15,15.85,185.7,1.57,0
23.77,15.7,16.71,143.87,2.35,0
23.8,17.27,17.32,136.55,1.47,0
23.82,19,17.48,132.64,0.88,0
23.85,16.17,16.31,165.83,2.26,0
23.88,13.75,14.16,172.06,2.75,0
23.9,12.56,12.56,178.3,2.16,0
23.93,11.36,14.02,343.13,4.02,0
23.95,18.13,15.95,344.23,3.73,0
23.98,18.34,17.31,145.26,1.37,0
24,15.45,15.74,217.63,1.47,0
24.02,13.42,14.07,155,0.98,0
24.05,13.34,13.1,120.16,1.47,0
24.07,12.52,13.01,276.12,0.69,0
24.1,13.15,12.78,236.67,0.88,0
24.13,12.66,13.14,290.98,7.95,0
24.15,13.6,12.79,127.51,-1.18,0
24.18,12.11,12.35,124.18,6.97,0
24.2,11.33,12.19,154.75,0.29,0
24.23,13.12,12.71,197.03,1.18,0
24.25,13.67,12.65,122.12,4.61,0
24.27,11.17,11.88,98.47,2.06,0
24.3,10.8,11.04,102.69,-1.47,0
24.32,11.14,10.54,129.82,0.2,0
24.35,9.68,10.87,104.39,1.28,0
24.38,11.8,13.24,112.36,1.18,0
24.4,18.23,16.1,147.49,-0.98,0
24.43,18.28,17,263.96,1.77,0
24.45,14.5,13.65,274.47,4.02,0
24.48,8.19,10.89,147.89,0.69,0
24.5,10,7.5,168.59,3.63,0
24.52,4.32,6.77,194.46,1.47,0
24.55,5.98,7.14,306.36,0.69,0
24.57,11.12,9.94,504.49,3.04,0
24.6,12.72,7.94,527.16,4.02,0
24.63,0,4.24,0,-8888,0
24.65,0,0,0,-8888,0
24.68,0,0,0,-8888,0
24.7,0,0,0,-8888,0
24.73,-8888,0,-8888,-8888,0
24.75,-8888,0,-8888,-8888,0
24.77,-8888,0,-8888,-8888,0
24.8,-8888,0,-8888,-8888,0
24.82,-8888,0,-8888,-8888,0
24.85,-8888,0,-8888,-8888,0
24.88,-8888,0,-8888,-8888,0
24.9,-8888,0,-8888,-8888,0
24.93,-8888,0,-8888,-8888,0
24.95,-8888,0,-8888,-8888,0
24.98,-8888,0,-8888,-8888,0
25,-8888,0,-8888,-8888,0
25.02,-8888,0,-8888,-8888,0
25.05,-8888,0,-8888,-8888,0
25.07,-8888,0,-8888,-8888,0
25.1,-8888,0,-8888,-8888,0
25.13,-8888,0,-8888,-8888,0
25.15,-8888,0,-8888,-8888,0
25.18,-8888,0,-8888,-8888,0
25.2,-8888,0,-8888,-8888,0
25.23,-8888,0,-8888,-8888,0
25.25,-8888,0,-8888,-8888,0
25.27,-8888,0,-8888,-8888,0
25.3,-8888,0,-8888,-8888,0
25.32,-8888,0,-8888,-8888,0
25.35,-8888,0,-8888,-8888,0
25.38,-8888,0,-8888,-8888,0
25.4,-8888,0,-8888,-8888,0
25.43,-8888,0,-8888,-8888,0
25.45,-8888,0,-8888,-8888,0
25.48,-8888,0,-8888,-8888,0
25.5,-8888,0,-8888,-8888,0
25.52,-8888,0,-8888,-8888,0
25.55,-8888,0,-8888,-8888,0
25.57,-8888,0,-8888,-8888,0
25.6,-8888,0,-8888,-8888,0
25.63,-8888,0,-8888,-8888,0
25.65,-8888,0,-8888,-8888,0
25.68,-8888,0,-8888,-8888,0
25.7,-8888,0,-8888,-8888,0
25.73,-8888,0,-8888,-8888,0
25.75,-8888,0,-8888,-8888,0
25.77,-8888,0,-8888,-8888,0
25.8,-8888,0,-8888,-8888,0
25.82,-8888,0,-8888,-8888,0
25.85,-8888,0,-8888,-8888,0
25.88,-8888,0,-8888,-8888,0
25.9,-8888,0,-8888,-8888,0
25.93,-8888,0,-8888,-8888,0
25.95,-8888,0,-8888,-8888,0
25.98,-8888,0,-8888,-8888,0
26,-8888,0,-8888,-8888,0
26.02,-8888,0,-8888,-8888,0
26.05,-8888,0,-8888,-8888,0
26.07,-8888,0,-8888,-8888,0
26.1,-8888,0,-8888,-8888,0
26.13,-8888,0,-8888,-8888,0
26.15,-8888,0,-8888,-8888,0
26.18,-8888,0,-8888,-8888,0
26.2,-8888,0,-8888,-8888,0
26.23,-8888,0,-8888,-8888,0
26.25,-8888,0,-8888,-8888,0
26.27,-8888,0,-8888,-8888,0
26.3,-8888,0,-8888,-8888,0
26.32,-8888,0,-8888,-8888,0
26.35,-8888,0,-8888,-8888,0
26.38,-8888,0,-8888,-8888,0
26.4,-8888,0,-8888,-8888,0
26.43,-8888,0,-8888,-8888,0
26.45,-8888,0,-8888,-8888,0
26.48,-8888,0,-8888,-8888,0
26.5,-8888,0,-8888,-8888,0
26.52,-8888,0,-8888,-8888,0
26.55,-8888,0,-8888,-8888,0
26.57,-8888,0,-8888,-8888,0
26.6,-8888,0,-8888,-8888,0
26.63,-8888,0,-8888,-8888,0
26.65,-8888,0,-8888,-8888,0
26.68,-8888,0,-8888,-8888,0
26.7,-8888,0,-8888,-8888,0
26.73,-8888,0,-8888,-8888,0
26.75,-8888,0,-8888,-8888,0
26.77,-8888,0,-8888,-8888,0
26.8,-8888,0,-8888,-8888,0
26.82,-8888,0,-8888,-8888,0
26.85,-8888,0,-8888,-8888,0
26.88,-8888,0,-8888,-8888,0
26.9,-8888,0,-8888,-8888,0
26.93,-8888,0,-8888,-8888,0
26.95,-8888,0,-8888,-8888,0
26.98,-8888,0,-8888,-8888,0
27,-8888,0,-8888,-8888,0
27.02,-8888,0,-8888,-8888,0
27.05,-8888,0,-8888,-8888,0
27.07,-8888,0,-8888,-8888,0
27.1,-8888,0,-8888,-8888,0
27.13,-8888,0,-8888,-8888,0
27.15,-8888,0,-8888,-8888,0
27.18,-8888,0,-8888,-8888,0
27.2,-8888,0,-8888,-8888,0
27.23,-8888,0,-8888,-8888,0
27.25,-8888,0,-8888,-8888,0
27.27,-8888,0,-8888,-8888,0
27.3,-8888,0,-8888,-8888,0
27.32,-8888,0,-8888,-8888,0
27.35,-8888,0,-8888,-8888,0
27.38,-8888,0,-8888,-8888,0
27.4,-8888,0,-8888,-8888,0
27.43,-8888,0,-8888,-8888,0
27.45,-8888,0,-8888,-8888,0
27.48,9.92,7.91,-8888,102.91,0
27.5,13.78,12.31,-8888,23.25,0
27.52,13.22,12.41,-8888,-12.26,0
27.55,10.24,11.19,-8888,-24.43,0
27.57,10.11,8.69,165.99,-19.03,0
27.6,5.71,7.12,111.69,30.71,0
27.63,5.53,5.66,173.3,28.45,0
27.65,5.71,5.94,186.84,29.63,0
27.68,6.57,7.12,255.84,29.04,0
27.7,9.07,7.76,256.27,25.6,0
27.73,7.62,7.65,241.98,5.4,0
27.75,6.24,6.38,249.37,11.58,0
27.77,5.28,5.5,227.89,-0.88,0
27.8,4.98,5.11,243.57,-0.78,0
27.82,5.06,5,195.97,-0.69,0
27.85,4.94,4.96,198.37,6.08,0
27.88,4.88,4.77,227.13,7.55,0
27.9,4.49,5.07,234.19,10.79,0
27.93,5.82,6.05,210.58,26.09,0
27.95,7.82,7.82,192.01,40.32,0
27.98,9.79,10.22,190.04,45.42,0
28,13.03,11.08,252.93,57,0
28.02,10.41,11.12,199.55,8.24,0.13
28.05,9.89,9.92,163.73,7.46,0.25
28.07,9.45,9.93,214.5,11.87,0.38
28.1,10.44,10.16,236.99,11.58,0.5
28.13,10.57,10.33,254.2,9.91,0.63
28.15,9.98,10.39,233.89,9.71,0.75
28.18,10.63,9.64,251.34,12.16,0.88
28.2,8.3,9.41,252.12,10.1,1
28.23,9.28,9.19,271.4,9.71,1.13
28.25,9.98,10.68,237.82,8.73,1.25
28.27,12.78,10.94,251.89,8.44,1.38
28.3,10.05,11.02,186.27,0.88,1.5
28.32,10.22,10.06,228.32,5.59,1.63
28.35,9.92,10.11,231.29,6.38,1.75
28.38,10.18,9.73,235.97,10.79,1.88
28.4,9.09,9.6,189.54,8.93,2
28.43,9.52,9.38,148.42,7.65,2.13
28.45,9.52,9.61,148.42,7.65,2.25
28.48,9.78,9.67,151.83,2.35,2.38
28.5,9.7,9.21,87,2.94,2.5
28.52,8.13,8.4,103.94,3.92,2.63
28.55,7.37,7.93,95.97,5.2,2.75
28.57,8.28,7.94,77.12,3.53,2.88
28.6,8.16,9.01,88.76,3.34,3
28.63,10.59,10.85,115.64,5.59,3.13
28.65,13.79,12.9,134.88,7.06,3.25
28.68,14.31,13.96,111.08,6.77,3.38
28.7,13.78,14.01,131.18,5.89,3.5
28.73,13.92,14.06,128.88,8.24,3.63
28.75,14.46,14.06,155.37,10.2,3.75
28.77,13.79,13.79,155.31,4.71,3.88
28.8,13.12,13.48,155.26,6.38,4
28.82,13.54,14.03,182.95,9.32,4.13
28.85,15.43,14.46,153.71,11.58,4.25
28.88,14.4,14.91,152.97,8.34,4.38
28.9,14.91,14.71,143.87,9.61,4.5
28.93,14.82,14.53,141.03,20.9,4.63
28.95,13.86,14.08,112.67,7.65,4.75
28.98,13.55,13.38,166.35,4.91,4.88
29,12.72,12.91,170.29,6.87,5
29.02,12.46,12.47,150.81,7.65,4.88
29.05,12.21,12.03,136.54,7.46,4.75
29.07,11.42,11.21,118.93,7.06,4.63
29.1,10,9.62,117.46,6.08,4.5
29.13,7.42,7.64,104.81,7.95,4.38
29.15,5.49,5.95,129.66,4.22,4.25
29.18,4.92,4.71,165.56,14.32,4.13
29.2,3.73,4.13,208.16,16.19,4
29.23,3.73,3.76,208.16,16.19,3.88
29.25,3.8,3.7,225.52,20.8,3.75
29.27,3.56,3.93,222.07,28.84,3.63
29.3,4.42,4.35,214.69,34.83,3.5
29.32,5.06,5.01,192.26,41.69,3.38
29.35,5.53,6.07,154.28,14.13,3.25
29.38,7.62,7.11,116.3,-2.16,3.13
29.4,8.17,9.03,119.48,8.24,3
29.43,11.3,11.69,165.35,16.97,2.88
29.45,15.59,14.05,260.08,8.63,2.75
29.48,15.24,15.25,231.82,9.22,2.63
29.5,14.9,15.02,203.56,23.54,2.5
29.52,14.91,15.02,169.44,5.3,2.38
29.55,15.26,14.84,151.47,22.17,2.25
29.57,14.34,14.61,139.2,20.7,2.13
29.6,14.21,13.76,131.96,9.71,2
29.63,12.73,13.3,218.23,16.68,1.88
29.65,12.95,12.41,189.16,12.95,1.75
29.68,11.52,12.17,203.92,19.62,1.63
29.7,12.01,11.77,201.22,13.05,1.5
29.73,11.76,11.42,160.21,3.04,1.38
29.75,10.47,11.36,156,7.65,1.25
29.77,11.86,11.22,145.91,-3.73,1.13
29.8,11.33,11.26,85.14,12.56,1
29.82,10.57,10.86,107,-0.39,0.88
29.85,10.68,10.77,122.59,10.4,0.75
29.88,11.06,10.36,75.12,4.61,0.63
29.9,9.34,9.68,86,10.69,0.5
29.93,8.64,8.93,32.81,-7.06,0.38
29.95,8.8,9.77,75.64,13.64,0.25
29.98,11.88,11.13,67.31,5.3,0.13
30,12.7,15.95,84.69,4.71,0
30.02,23.25,22.58,127.77,13.34,0
30.05,31.79,28.37,241.8,16.19,0
30.07,30.06,28.13,193.21,14.62,0
30.1,22.52,24.8,257.45,14.52,0
30.13,21.83,21.24,321.68,14.22,0
30.15,19.37,18.73,258.56,10.3,0
30.18,14.98,16.86,252.48,3.43,0
30.2,16.21,14.03,373.55,4.71,0
30.23,10.88,12.5,517.38,5.3,0
30.25,10.4,9.87,586.33,5.79,0
30.27,8.33,9.52,532.36,5.1,0
30.3,9.82,10.59,479.73,11.58,0
30.32,13.61,12.25,462.1,5.69,0
30.35,13.31,13,251.32,8.14,0
30.38,12.07,13.52,195.07,15.89,0
30.4,15.16,15.12,87.58,11.87,0
30.43,18.12,16.94,114.98,15.89,0
30.45,17.54,11.89,138.76,11.18,0
30.48,0,5.85,0,-8888,0
30.5,0,0,0,-8888,0
30.52,0,0,0,-8888,0
30.55,0,0,0,-8888,0
30.57,-8888,0,-8888,-8888,0
30.6,-8888,0,-8888,-8888,0
30.63,-8888,0,-8888,-8888,0
30.65,-8888,0,-8888,-8888,0
30.68,-8888,0,-8888,-8888,0
30.7,-8888,0,-8888,-8888,0
30.73,-8888,0,-8888,-8888,0
30.75,-8888,0,-8888,-8888,0
30.77,-8888,0,-8888,-8888,0
30.8,-8888,0,-8888,-8888,0
30.82,-8888,0,-8888,-8888,0
30.85,-8888,0,-8888,-8888,0
30.88,-8888,0,-8888,-8888,0
30.9,-8888,0,-8888,-8888,0
30.93,-8888,0,-8888,-8888,0
30.95,-8888,0,-8888,-8888,0
30.98,-8888,0,-8888,-8888,0
31,-8888,0,-8888,-8888,0
31.02,-8888,0,-8888,-8888,0
31.05,-8888,0,-8888,-8888,0
31.07,-8888,0,-8888,-8888,0
31.1,-8888,0,-8888,-8888,0
31.13,-8888,0,-8888,-8888,0
31.15,-8888,0,-8888,-8888,0
31.18,-8888,0,-8888,-8888,0
31.2,-8888,0,-8888,-8888,0
31.23,-8888,0,-8888,-8888,0
31.25,-8888,0,-8888,-8888,0
31.27,-8888,0,-8888,-8888,0
31.3,-8888,0,-8888,-8888,0
31.32,-8888,0,-8888,-8888,0
31.35,-8888,0,-8888,-8888,0
31.38,-8888,0,-8888,-8888,0
31.4,-8888,0,-8888,-8888,0
31.43,-8888,0,-8888,-8888,0
31.45,-8888,0,-8888,-8888,0
31.48,-8888,0,-8888,-8888,0
31.5,-8888,0,-8888,-8888,0
31.52,-8888,0,-8888,-8888,0
31.55,-8888,0,-8888,-8888,0
31.57,-8888,0,-8888,-8888,0
31.6,-8888,0,-8888,-8888,0
31.63,-8888,0,-8888,-8888,0
31.65,-8888,0,-8888,-8888,0
31.68,-8888,0,-8888,-8888,0
31.7,-8888,0,-8888,-8888,0
